inin start
inin done
load start
load done
epoch 265 16667.949219
epoch 266 16651.841797
epoch 267 16779.185547
epoch 268 16554.750000
epoch 269 16405.416016
epoch 270 16803.966797
epoch 271 16668.927734
epoch 272 16488.871094
epoch 273 16458.929688
epoch 274 16551.037109
epoch 275 16366.641602
epoch 276 16662.464844
epoch 277 16209.863281
epoch 278 16236.710938
epoch 279 16386.009766
epoch 280 16479.113281
epoch 281 16093.744141
epoch 282 16360.062500
epoch 283 16041.141602
epoch 284 16085.418945
epoch 285 16080.666992
epoch 286 15925.583008
epoch 287 15613.587891
epoch 288 15846.625977
epoch 289 15674.569336
epoch 290 15895.415039
epoch 291 15503.092773
epoch 292 15547.856445
epoch 293 15705.432617
epoch 294 15496.535156
epoch 295 15524.443359
epoch 296 15603.605469
epoch 297 15481.532227
epoch 298 15376.378906
epoch 299 15546.500977
epoch 300 15340.166992
epoch 301 15193.543945
epoch 302 15498.684570
epoch 303 15234.238281
epoch 304 15253.707031
epoch 305 15056.429688
epoch 306 14916.068359
epoch 307 15097.718750
epoch 308 15149.750000
epoch 309 15255.368164
epoch 310 15091.731445
epoch 311 15040.023438
epoch 312 14993.440430
epoch 313 15074.874023
epoch 314 14725.405273
epoch 315 14837.200195
epoch 316 14685.491211
epoch 317 14613.276367
epoch 318 14461.044922
epoch 319 14497.174805
epoch 320 14256.171875
epoch 321 14666.130859
epoch 322 14409.551758
epoch 323 14669.689453
epoch 324 14336.655273
epoch 325 14352.144531
epoch 326 14835.322266
epoch 327 14283.023438
epoch 328 14760.342773
epoch 329 14208.836914
epoch 330 14315.833984
epoch 331 14482.283203
epoch 332 14203.178711
epoch 333 14188.599609
epoch 334 14256.258789
epoch 335 14162.874023
epoch 336 14217.810547
epoch 337 13916.293945
epoch 338 13958.932617
epoch 339 13995.808594
epoch 340 14052.665039
epoch 341 13951.582031
epoch 342 14331.093750
epoch 343 13837.957031
epoch 344 14072.799805
epoch 345 13890.699219
epoch 346 13898.953125
epoch 347 13650.734375
epoch 348 13773.399414
epoch 349 13776.442383
epoch 350 13905.642578
epoch 351 13963.950195
epoch 352 13998.412109
epoch 353 13703.876953
epoch 354 13684.904297
epoch 355 13598.455078
epoch 356 13759.544922
epoch 357
